word	language	count
하	ko	1166427
0	ko	1068401
이	ko	995330
의	ko	857226
다	ko	771926
는	ko	705979
ㄴ	ko	693594
에	ko	648754
을	ko	636656
은	ko	455520
아	ko	387525
를	ko	384313
되	ko	374047
았	ko	367714
었	ko	351889
고	ko	320825
년	ko	300335
있	ko	290408
가	ko	281672
으로	ko	268719
에서	ko	263611
로	ko	234996
어	ko	217343
과	ko	184696
ㄴ다	ko	177113
들	ko	170339
도	ko	150962
지	ko	146075
적	ko	140074
기	ko	136160
ㄹ	ko	127542
그	ko	126542
월	ko	119905
것	ko	106903
게	ko	104889
면	ko	100443
일	ko	98583
와	ko	94204
수	ko	82591
등	ko	78989
오	ko	71853
늘	ko	71288
으며	ko	67331
며	ko	66475
던	ko	58076
않	ko	51090
만	ko	45745
에게	ko	44386
대하	ko	41995
주	ko	41788
보	ko	40716
중	ko	40192
받	ko	39838
라고	ko	38348
자	ko	38209
때	ko	38181
위하	ko	37752
나	ko	36963
라는	ko	36761
지만	ko	35891
제	ko	35483
사용	ko	35272
는데	ko	34627
명	ko	34131
으나	ko	33957
이후	ko	33527
없	ko	33479
까지	ko	33106
후	ko	32791
말	ko	32773
같	ko	32498
부터	ko	32056
한	ko	31673
면서	ko	31290
아서	ko	30852
세	ko	30849
일본	ko	30307
성	ko	30297
두	ko	29670
개	ko	29657
번	ko	29066
때문	ko	28104
가지	ko	27804
시	ko	27570
라	ko	26602
의하	ko	26181
크	ko	25961
대	ko	25882
많	ko	25881
따르	ko	25398
미국	ko	25338
다고	ko	24953
ㅁ	ko	24821
그러나	ko	23839
사람	ko	23756
시키	ko	23626
전	ko	23286
경우	ko	23175
시작	ko	23083
지역	ko	23063
다른	ko	22919
현재	ko	22537
또한	ko	22450
고리	ko	22208
바깥	ko	22070
만들	ko	21545
및	ko	21541
당시	ko	21476
내	ko	21372
함께	ko	21345
다는	ko	20984
이름	ko	20957
대한민국	ko	20562
같이	ko	20228
아니	ko	19568
활동	ko	19230
가장	ko	19199
다음	ko	18860
자신	ko	18734
위	ko	18328
화	ko	18285
통하	ko	17651
어서	ko	17566
차	ko	17312
기록	ko	16942
뒤	ko	16723
주석	ko	16419
세계	ko	16277
보다	ko	15977
군	ko	15903
역사	ko	15880
