구분,시 설 명,입소정원,시설 소재지,전화번호
중구,닥터김노인요양센터,120,"중구, 태평로 304",053-428-8808
중구,동산요양원(2017.1.24 휴업),20,"중구,달성로 83",053-256-4020
중구,보람요양원,19,"중구,명덕로 125",053-257-8001
중구,남산요양원,9,중구 남산로7길 44,053-255-6567
중구,문성요양복지센터,9,"중구,명덕로 217",053-521-6162
중구,현대복지센터,9,"중구,명덕로59",053-626-7822
동구,SOS프란치스카의집,95,대구시 동구 방촌로1길 17 (검사동),053-986-2077
동구,갓바위치매센타,98,대구시 동구 갓바위로 75 (진인동),053-986-7700
동구,동구소규모노인종합센터,10,대구시 동구 공항로31길 9-6 (불로동),053-983-9011
동구,동화사 자비원,80,대구시 동구 팔공산로254길 27 (도학동),053-985-2115
동구,마이홈노인전문요양원,101,대구시 동구 공항로31길 9 (불로동),053-983-0755 
동구,붓다의집,65,대구시 동구 갓바위로 75 (진인동),053-986-5522
동구,성덕실버타운,126,대구시 동구 서촌로21길 20-16 (덕곡동),053-983-7085   
동구,신안사랑마을,95,대구시 동구 용천로77길 50 (신무동),053-985-9937  
동구,진명고향마을,147,대구시 동구 파계로 629 (중대동),053-982-8847
동구,진명실버타운,36,대구시 동구 효목로 13-1 (효목동),053-742-9825
동구,진명해안실버타운,28,대구시 동구 신평로 54 (신평동),053-981-0783
동구,가람요양원,7,"대구시 동구 안심로 442, 2층 (신서동, 가람빌딩)",053-965-3990
동구,궁전노인복지센터,9,"대구시 동구 신암남로15길 70, 3층 (신암동)",053-944-1677
동구,금강전원실버요양원,18,대구시 동구 금강로39길 63 (금강동),053-962-0052
동구,뉴도울노인요양센터1,9,"대구시 동구 화랑로 105, 4층 (효목동)",053-286-0001 
동구,뉴도울노인요양센터2,9,"대구시 동구 화랑로 105, 2층 (효목동)",053-653-1222
동구,다사랑실버타운,26,대구시 동구 신암로14길 3 (신암동),053-952-2356
동구,동구안심케어복지센터,9,"대구시 동구 율하동로 75, 2동 2층 (율하동)",053-961-9321
동구,동대구노인복지센터,9,"대구시 동구 신암남로15길 70, 4층 (신암동)",053-943-1677
동구,방촌요양복지센터,15,대구시 동구 호반길 14 (방촌동),053-431-1004
동구,삼성요양원1,9,"대구시 동구 화랑로 147, 3층 (효목동)",053-241-2119
동구,삼성요양원2,9,"대구시 동구 화랑로 147, 4층 (효목동)",053-242-5119
동구,선우요양복지센터,9,대구시 동구 안심로22길 60 (율하동),053-961-9800 
동구,선우요양복지센터(2),9,대구시 동구 안심로22길 60 (율하동),053-961-9800 
동구,안심성봉요양원,41,대구시 동구 안심로41길 52 (신기동),053-964-6300
동구,에덴공동생활가정,9,"대구시 동구 동북로 400 (신암동, 세종빌딩)",053-942-9138
동구,에덴노인요양센터1,9,"대구시 동구 동촌로 31, 2층 (입석동, 태동빌딩)",053-981-9139     
동구,에덴노인요양센터2,9,"대구시 동구 동촌로 31, 2층 (입석동, 태동빌딩)",053-983-9139    
동구,열경요양원,29,대구시 동구 동촌로 146 (검사동),053-981-0009
동구,율하요양원,7,"대구시 동구 안심로22길 56, 3층 303호 (율하동, 느티타워)",053-965-0702
동구,지성노인요양의집,9,대구시 동구 아양로10길 22 (신암동),053-955-0999
동구,진명실버홈,60,대구시 동구 동촌로 285 (방촌동),053-985-8850  
동구,치사랑공동생활가정,8,대구시 동구 동촌로8길 25-6 (검사동),053-981-5680   
동구,크로바중앙요양원,28,대구시 동구 반야월로26길 20 (신기동),053-753-4001
동구,팔공어르신요양원,9,대구시 동구 팔공로25길 12 (불로동),053-981-0515
동구,팔공어르신요양원 동촌센터,18,대구시 동구 동촌로 35 (입석동),053-986-0515
동구,푸른실버타운,49,대구시 동구 안심로22길 40-7 (율하동),053-964-0100
동구,한마음요양원1,9,"대구시 동구 안심로22길 40, 603호 (율하동)",053-794-7800
동구,한마음요양원2,9,"대구시 동구 안심로22길 40, 602호 (율하동)",053-794-7800
동구,한사랑실버타운,17,대구시 동구 반야월로18길 48 (율하동),053-981-9951
동구,행복한요양복지관,20,"대구시 동구 안심로22길 46, 4층,6층 (율하동)",053-985-5988
동구,효사랑실버타운,28,대구시 동구 경안로109길 40 (서호동),053-965-1067
동구,효사랑요양원1,9,"대구시 동구 안심로22길 60-3, 3층 (율하동)",053-985-9978
동구,효사랑요양원2,9,"대구시 동구 안심로22길 60-3, 3층 (율하동)",053-985-9978
동구,효성실버홈,9,"대구시 동구 아양로 14, 3층 (신암동)",053-955-9322
동구,효성실버홈2,9,"대구시 동구 아양로 14, 2층 (신암동)",053-955-3100
서구,보은노인전문요양원,99,국채보상로81안길 8 (비산동) ,053-521-0741
서구,참사랑실버요양원,200,가르뱅이로21길 3 (상리동),053-567-0657
서구,혜민노인요양원,18,원대로13길 38-14?(원대동3가),053-357-3469
서구,샬롬노인요양공동,6,"국채보상로34길 12, 103/102 (중리동)",053-568-5830
서구,샬롬노인종합센터,17,가르뱅이로16길 26(상리동),053-527-9990
서구,서대구실버하우스,100,국채보상로 7(이현동),053-555-3800
서구,한신노인요양원,160,평리로 306(내당동),053-222-9200
서구,간호박사요양센터,9,"통학로 54, 2층 (내당동)",053-572-8816
서구,간호박사요양센터1,9,"통학로 54, 3층 (내당동)",053-572-8813
서구,간호박사요양센터3,9,"통학로 54, 5층 (내당동)",053-572-8812
서구,그린노인요양원,9,"국채보상로 354, 5층 (비산동)",053-565-7890
서구,내고향노인요양원,16,통학로 175-6(평리동),053-556-9988
서구,대구시니어요양센터,9,"서대구로 86, 6층 (평리동) ",070-7890-1106
서구,대구시니어요양센터1,9,"서대구로 86, 7층 (평리동) ",070-7890-1102
서구,대구시니어요양센터2,9,"서대구로 86, 7층 (평리동) ",070-7890-1107
서구,대구시니어요양센터3,9,"서대구로 86, 7층 (평리동) ",053-568-9988
서구,대구실버요양센터,9,"통학로 57, 3층 (내당동) ",053-553-4321
서구,대평리요양원,38,북비산로 246 (평리동),053-572-9001
서구,동산노인요양센터,63,서대구로 298(비산동),053-355-1115
서구,두레노인요양원1,9,"서대구로 177, 2층 (평리동)",053-566-9914
서구,두레노인요양원3,9,"서대구로 177, 4층 (평리동)",053-566-9939
서구,무지개노인요양원,9,평리로35길 94 (중리동),053-568-3366
서구,민들레노인요양원,94,당산로 231-2 (내당동),053-643-3000
서구,보배요양원,24,새방로 137 (상리동) ,053-554-8899
서구,사랑마을노인요양원,9,"국채보상로 50길 10, 3층 (평리동)",053-552-8899
서구,삼성요양원1,9,"국채보상로 429, 3층 (비산동)",070-4206-8119
서구,삼성요양원2,9,"국채보상로 429, 3층 (비산동)",053-567-8119
서구,예람요양원,25,북비산로 270 (평리동),053-527-5367
서구,온사랑요양원,9,"북비산로 356,301호 (비산동)",053-656-9682
서구,참사랑노인요양원,49,고성로 9 (원대동3가),053-358-0100
서구,한아름요양복지센터,9,"팔달로 222, 4층 (원대동3가) ",053-266-6164
서구,한우리요양원1,9,"평리로 243, 5층 (평리동)",053-555-6622
서구,한우리요양원2,9,"평리로 243, 4층 (평리동)",053-566-6623
서구,혜인요양원1,9,"평리로 261, 5층 (중리동) ",053-563-9200
서구,혜인요양원2,9,"평리로 261, 4층 (중리동) ",053-473-9200
서구,혜인요양원3,9,"평리로 261, 3층 (중리동) ",053-563-9700
서구,효성2요양원,9,"국채보상로 240-1, 4층 (평리동) ",053-566-6501
서구,효성요양원,9,"국채보상로 240-1, 5층 (평리동) ",053-566-8901
남구,무량수전,146,중앙대로 122,053-477-3334
남구,여래원,98,이천로28길 8-52,053-472-2222
남구,영문대요양원,22,양지북길 126,053-652-5353
남구,휴마나두류요양원,86,성당로 86-1,053-654-7171
남구,앞산고을요양센터,98,용두2길 37,053-637-3397
남구,온누리요양타운,25,두류공원로 89,1588-1750
남구,봉덕 효 요양원,17,봉덕로 100-1,053-475-8573
남구,재활노인요양원,26,대덕초등길 66,053-624-5266
남구,가톨릭요양원,18,두류공원로 96,053-628-8833
남구,대명요양센터,20,명덕로72,053-254-3200
남구,연경노인요양원,18,대명남로 106-1,053-651-7755
남구,123노인요양공동생활가정,9,대명로 273,053-623-9123
남구,만수노인요양센터,9,대명로 184,053-656-1222
남구,예람실버홈,9,대명로36길 71-14,053-651-5367
남구,고은손노인요양센터,9,성당로46 명성빌딩 3층,053-623-0528
남구,예람요양센터,9,대명로36길 71-13,053-651-5352
남구,선정효요양센터,8,대명로 254-2,053-652-0331
남구,남대구1요양센터,9,두류공원로 26,053-655-7100
남구,남대구2요양센터,9,두류공원로 26,070-8879-7200
남구,남대구3요양센터,9,두류공원로 26,070-8915-4778
남구,남대구4요양센터,9,두류공원로 26,070-8915-4779
남구,명인요양센터,9,"중앙대로22길 256, 5층",053-473-8899
남구,효다함요양센터,9,"중앙대로22길 256, 4층",053-471-8899
남구,예람요양센터2,7,대명로36길 71-15,053-651-5352
남구,효다함요양센터2,9,"중앙대로22길 256, 4층",053-474-8890
남구,까리따스의집 노인요양공동생활가정,9,안지랑로6길 7,053-627-3181
남구,유림케어요양복지센터,9,대명로 26(4층),053-643-0361
남구,애덕의집노인요양센터,9,안지랑로 29-4,053-625-5576
북구,복음실버타운,332,북구 칠곡중앙대로77길  14 ,053-323-9343
북구,효성실버타운,152,북구 도남길 92-52 (도남동),053-327-0003
북구,새볕실버빌,60,북구 영송로 36-6 (태전동),053-314-0800
북구,파티마홈,75,북구 내곡로 123 (사수동),053-324-1188 
북구,장원노인복지센터,9,"북구 동북로 263, 5층 (복현동)",053-982-4470 
북구,장원노인복지센터2,9,"북구 동북로 263, 6층 (복현동)",053-982-4470 
북구,한성노인요양센터,15,북구 칠성남로30길 28 (칠성동),053-255-9711
북구,대경장기요양기관,62,북구 칠곡중앙대로 508 (읍내동),053-325-5979
북구,e-편한요양센터,29,북구 칠곡중앙대로 426 (읍내동),053-741-8899 
